load data,2023-05-23 14:51:59
prints angajat,2023-05-23 14:52:07
delete employee by id,2023-05-23 14:52:45
prints angajat,2023-05-23 14:52:50
print roles,2023-05-23 14:54:09
Close connection with database.,2023-05-23 14:56:51
